<<<<<<< Updated upstream
1.59107 -5 6.59107
235.057 0 235.057
-325.563 -2 323.563
593.96 4 589.96
480.797 6 474.797
170.723 1 169.723
19.2988 7 12.2988
128.222 1 127.222
-11.6298 5 16.6298
50.2976 -5 55.2976
-252.453 0 252.453
226.833 2 224.833
-89.9842 -2 87.9842
185.044 -8 193.044
305.509 -5 310.509
-439.575 -5 434.575
-2.43973 -4 1.56027
-245.088 -3 242.088
634.147 2 632.147
-15.7783 -2 13.7783
250.669 6 244.669

214.637 -3 217.637
-131.392 -8 123.392
-239.915 -7 232.915
-160.521 -4 156.521
-163.459 4 167.459
-129.356 -2 127.356
-503.243 5 508.243
142.544 -3 145.544
-20.9846 5 25.9846
230.18 5 225.18
-238.762 7 245.762
-375.93 5 380.93
260.39 3 257.39
111.407 -4 115.407
-10.4199 3 13.4199
-104.322 5 109.322
511.538 6 505.538
-65.2583 7 72.2583
-214.244 2 216.244
-151.581 3 154.581
-412.217 2 414.217
361.039 2 359.039
-115.616 -4 111.616
428.78 6 422.78
-246.675 -6 240.675
364.945 4 360.945
-255.913 -2 253.913
255.628 1 254.628
183.766 -3 186.766
223.099 -7 230.099
609.011 0 609.011
5.83655 2 3.83655
-119.815 3 122.815
-159.776 -3 156.776
-111.72 5 116.72
241.53 3 238.53
22.8007 -8 30.8007
-172.04 -2 170.04
24.4268 -1 25.4268
-153.964 5 158.964
147.481 0 147.481
342.786 3 339.786
-180.695 -8 172.695
161.934 -3 164.934
192.042 0 192.042
-140.73 1 141.73
87.4848 -7 94.4848
-117.041 -5 112.041
-164.997 3 167.997
169.118 -6 175.118
-219.222 -8 211.222
236.784 5 231.784
122.227 -3 125.227
-57.8202 -6 51.8202
-362.511 -3 359.511
-173.15 -1 172.15
231.281 3 228.281
228.561 4 224.561
-111.962 7 118.962
259.093 3 256.093
899.301 -3 902.301
-419.02 -1 418.02
-339.881 6 345.881
-64.9368 -6 58.9368

757.214 0 757.214
-17.8955 -8 9.89548
-151.526 -1 150.526
-237.01 -1 236.01
-159.05 4 163.05
-237.098 5 242.098
-326.048 3 329.048
442.827 0 442.827
262.489 0 262.489
-218.686 -8 210.686
15.2873 -3 18.2873
-150.097 7 157.097
-201.867 -7 194.867
-10.9875 -5 5.98747
542.907 -1 543.907
-107.934 4 111.934
19.8103 4 15.8103
-170.31 -1 169.31
112.846 4 108.846
252.005 1 251.005
-9.58705 4 13.587
38.9973 -7 45.9973
-116.065 7 123.065
62.1713 6 56.1713
79.5933 -8 87.5933
362.136 1 361.136
-188.778 -6 182.778
181 -5 186
-253.781 0 253.781
33.2314 5 28.2314
82.7503 -1 83.7503
-220.786 5 225.786
-38.9738 -6 32.9738
-488.86 5 493.86
-12.8415 0 12.8415
354.195 5 349.195
145.003 -4 149.003
-81.7369 -8 73.7369
151.709 0 151.709
132.876 -3 135.876
421.653 -4 425.653
-416.112 -7 409.112
185.672 -1 186.672
150.639 5 145.639
325.471 -3 328.471
-263.249 2 265.249
325.641 4 321.641
-531.987 -8 523.987
119.9 3 116.9
98.5892 -7 105.589
476.351 3 473.351
9.62797 -7 16.628
159.679 -2 161.679
27.5942 7 20.5942
-260.665 -4 256.665
-114.354 -6 108.354
327.371 -1 328.371
368.802 5 363.802
162.58 -5 167.58
-511.546 -2 509.546
429.861 7 422.861
-265.849 0 265.849
-129.567 3 132.567
-54.5745 -1 53.5745

-578.117 3 581.117
168.366 -3 171.366
293.5 0 293.5
-313.821 -1 312.821
-71.6975 6 77.6975
232.302 5 227.302
-67.1258 2 69.1258
-56.5835 -7 49.5835
195.185 -8 203.185
124.093 -7 131.093
-162.767 2 164.767
29.8159 -2 31.8159
259.746 0 259.746
93.0181 -7 100.018
-958.953 3 961.953
181.747 -8 189.747
-412.86 3 415.86
-621.668 3 624.668
488.883 -6 494.883
-302.554 -2 300.554
-301.397 5 306.397
50.4354 6 44.4354
-87.9374 3 90.9374
-213.535 -3 210.535
104.179 6 98.1794
176.888 1 175.888
190.207 6 184.207
-360.898 5 365.898
-50.6182 1 51.6182
340.271 7 333.271
-275.869 7 282.869
380.059 6 374.059
-322.027 1 323.027
261.563 4 257.563
205.851 2 203.851
-42.3892 5 47.3892
84.1375 -4 88.1375
231.301 1 230.301
-325.488 -4 321.488
359.06 7 352.06
204.668 -2 206.668
161.863 -6 167.863
-71.93 -3 68.93
431.959 -5 436.959
20.9803 3 17.9803
138.628 6 132.628
100.298 -7 107.298
-116.007 -2 114.007
13.222 4 9.22196
82.4383 -2 84.4383
937.821 -7 944.821
22.3264 -5 27.3264
-627.332 -2 625.332
50.5248 1 49.5248
447.128 -3 450.128
-218.671 -5 213.671
-10.2333 -8 2.23329
-206.314 -3 203.314
76.6736 4 72.6736
26.9353 -5 31.9353
581.326 -7 588.326
95.3455 0 95.3455
-591.111 -8 583.111
84.0514 -4 88.0514

-12.473 -7 5.47305
44.5773 1 43.5773
-322.792 -3 319.792
378.3 0 378.3
181.294 -5 186.294
176.984 -7 183.984
-54.6675 -2 52.6675
-132.208 -7 125.208
-23.774 -3 20.774
-55.082 -7 48.082
-288.57 -1 287.57
149.506 2 147.506
128.952 -2 130.952
-179.616 -6 173.616
-374.728 5 379.728
-211.803 -4 207.803
-178.463 -6 172.463
333.389 -1 334.389
141.939 6 135.939
16.1844 -5 21.1844
-89.8195 2 91.8195
-197.68 6 203.68
-173.295 2 175.295
23.1197 -5 28.1197
-179.152 7 186.152
192.011 -5 197.011
-44.5188 0 44.5188
-186.411 2 188.411
-52.7232 -2 50.7232
-283.016 -8 275.016
-116.68 -2 114.68
-14.5939 -6 8.59386
206.477 -2 208.477
-460.101 0 460.101
-82.3326 2 84.3326
67.8345 -5 72.8345
425.528 -7 432.528
92.2959 -7 99.2959
-195.777 -4 191.777
346.866 -8 354.866
-271.327 6 277.327
-191.745 -3 188.745
300.945 2 298.945
-186.86 7 193.86
247.007 -4 251.007
-297.466 -3 294.466
-1.52928 -7 5.47073
323.383 5 318.383
-399.159 -8 391.159
-121.936 3 124.936
7.22305 -6 13.2231
292.863 0 292.863
239.11 4 235.11
32.5716 -8 40.5716
307.542 0 307.542
161.271 1 160.271
-356.631 -5 351.631
252.441 7 245.441
-152.841 -6 146.841
170.061 -6 176.061
49.8425 -6 55.8425
10.9727 -8 18.9727
-87.2803 1 88.2803
288.272 -7 295.272

-120.253 0 120.253
106.529 1 105.529
110.565 -7 117.565
-33.7147 1 34.7147
159.01 -4 163.01
282.381 -7 289.381
105.259 1 104.259
368.81 -3 371.81
-117.755 -3 114.755
124.685 -7 131.685
-94.7195 -8 86.7195
-249.087 -3 246.087
343.996 -6 349.996
-356.454 -5 351.454
-247.359 -1 246.359
-157.159 7 164.159
96.8001 -8 104.8
-148.387 -3 145.387
269.524 1 268.524
-240.797 0 240.797
-158.549 -2 156.549
-172.535 6 178.535
190.158 -8 198.158
-184.273 -4 180.273
32.553 1 31.553
-710.636 1 711.636
90.3871 -2 92.3871
-290.409 2 292.409
77.1186 -4 81.1186
304.334 -3 307.334
-246.923 -1 245.923
360.391 4 356.391
-51.3801 0 51.3801
77.7111 7 70.7111
461.872 1 460.872
-13.4206 -6 7.42056
-366.86 -5 361.86
350.219 -7 357.219
-388.948 -7 381.948
-40.7519 -4 36.7519
256.02 1 255.02
-302.828 5 307.828
-147.026 4 151.026
602.105 3 599.105
-753.69 -4 749.69
255.8 -5 260.8
395.935 -8 403.935
-596.49 -4 592.49
374.835 6 368.835
376.918 -5 381.918
-22.6736 -8 14.6736
240.492 -5 245.492
-36.8659 -1 35.8659
-294.711 0 294.711
-142.818 2 144.818
-190.164 5 195.164
-396.69 -7 389.69
292.282 2 290.282
-253.85 6 259.85
246.109 -4 250.109
-196.862 -4 192.862
274.154 -7 281.154
-220.739 3 223.739
-17.4223 -4 13.4223

-99.1462 -4 95.1462
-27.054 -4 23.054
-430.836 1 431.836
297.874 4 293.874
-32.7333 2 34.7333
-281.544 -1 280.544
-56.1198 -1 55.1198
-250.053 0 250.053
233.513 -3 236.513
-199.695 -7 192.695
387.577 3 384.577
236.535 2 234.535
-211.993 1 212.993
75.1329 1 74.1329
-516.276 6 522.276
176.004 6 170.004
-149.717 -7 142.717
34.4898 -7 41.4898
249.59 6 243.59
-365.98 2 367.98
423.4 -5 428.4
7.43333 6 1.43333
66.1674 4 62.1674
341.952 -3 344.952
50.6282 -3 53.6282
-50.9711 6 56.9711
-145.345 -4 141.345
114.162 0 114.162
104.135 -1 105.135
-145.111 -4 141.111
303.947 0 303.947
-36.578 -1 35.578
78.7618 -7 85.7618
-144.43 -7 137.43
-27.8045 6 33.8046
13.3841 0 13.3841
-187.57 0 187.57
297.86 -1 298.86
-68.3154 -7 61.3154
18.392 -1 19.392
233.382 3 230.382
-306.991 -7 299.991
-286.176 -5 281.176
-24.7379 0 24.7379
-727.027 4 731.027
-117.728 -1 116.728
-392.303 7 399.303
238.231 -7 245.231
185.799 1 184.799
-167.051 2 169.051
-251.386 -6 245.386
282.58 2 280.58
29.9721 -6 35.9721
535.759 6 529.759
-19.3403 7 26.3403
-56.6868 4 60.6868
421.113 6 415.113
66.3366 -6 72.3366
127.737 -7 134.737
38.1073 -8 46.1073
-31.1959 7 38.1959
140.974 -1 141.974
84.7183 4 80.7183
-107.107 -8 99.1072

382.375 -7 389.375
-538.424 -8 530.424
-320.865 -8 312.865
-289.222 2 291.222
131.519 -6 137.519
14.6985 -2 16.6985
-298.02 -5 293.02
140.314 -2 142.314
-31.7977 -6 25.7977
-266.053 -8 258.053
-77.6251 2 79.6251
-42.6376 1 43.6376
-193.659 1 194.659
113.489 -6 119.489
-134.413 6 140.413
-761.327 -4 757.327
-274.263 4 278.263
239.028 -3 242.028
265.09 -8 273.09
400.052 1 399.052
64.1787 0 64.1787
-297.202 -1 296.202
141.165 4 137.165
-219.584 1 220.584
150.373 -2 152.373
-455.816 4 459.816
-23.8211 -1 22.8211
343.542 4 339.542
-124.59 -6 118.59
175.551 -7 182.551
-116.486 2 118.486
80.9271 -1 81.9271
-127.923 1 128.923
-343.301 -5 338.301
-111.63 -7 104.63
-192.208 6 198.208
2.04422 0 2.04422
368.453 0 368.453
-125.85 5 130.85
240.643 2 238.643
-43.8497 -8 35.8497
436.014 -4 440.014
313.542 0 313.542
252.48 5 247.48
375.32 -2 377.32
211.413 -1 212.413
-13.5019 -6 7.50193
-216.757 -1 215.757
111.988 -5 116.988
355.256 2 353.256
-323.841 -5 318.841
-78.7517 2 80.7517
487.765 -8 495.765
-237.682 7 244.682
-90.656 4 94.656
282.482 -5 287.482
583.496 -4 587.496
-329.94 -3 326.94
154.233 -3 157.233
128.844 5 123.844
414.399 -2 416.399
-4.74587 -7 2.25413
153.194 1 152.194
-729.839 -6 723.839

57.5926 7 50.5926
-60.0847 -1 59.0847
-105.805 -2 103.805
-220.535 3 223.535
336.388 5 331.388
-201.242 1 202.242
146.021 -7 153.021
-254.891 -7 247.891
-43.1752 3 46.1752
-416.523 4 420.523
-398.648 -1 397.648
103.323 4 99.3234
-69.1559 -1 68.1559
-84.6059 -8 76.6059
-218.925 3 221.925
-29.3758 1 30.3758
-52.2637 3 55.2637
-25.6815 2 27.6815
-28.6449 2 30.6449
-306.344 4 310.344
263.482 6 257.482
109.818 -4 113.818
2.44159 -5 7.44159
225.095 5 220.095
-97.8449 -1 96.8449
-415.284 -7 408.284
207.42 -3 210.42
-126.724 3 129.724
114.203 4 110.203
-34.9407 4 38.9407
521.788 -3 524.788
-79.8169 -6 73.8169
-115.815 -3 112.815
3.83363 6 2.16637
210.536 7 203.536
-469.314 7 476.314
93.3847 5 88.3847
-67.2604 -6 61.2604
-125.672 -2 123.672
-18.2522 -3 15.2522
-134.166 -8 126.166
-325.731 7 332.731
63.3334 4 59.3334
49.2834 5 44.2834
-163.859 0 163.859
-31.5315 2 33.5314
-5.04115 4 9.04115
44.5176 3 41.5176
-227.273 7 234.273
-273.148 2 275.148
-535.229 -6 529.229
-79.8424 -3 76.8424
-522.537 -7 515.537
-171.243 2 173.243
72.7942 -6 78.7942
-181.051 0 181.051
-182.201 2 184.201
119.525 -1 120.525
-48.1777 -2 46.1777
-11.0206 -1 10.0206
72.6653 2 70.6653
203.735 5 198.735
340.332 3 337.332
148.866 6 142.866

-64.0691 1 65.0691
-361.587 1 362.587
98.6329 3 95.6329
115.627 1 114.627
-145.903 -2 143.903
-157.198 -5 152.198
49.227 -1 50.227
-363.541 2 365.541
501.533 -6 507.533
308.789 1 307.789
-392.016 -2 390.016
-188.373 -1 187.373
253.687 -7 260.687
245.604 -4 249.604
-82.8668 7 89.8668
-420.782 6 426.782
-98.1908 3 101.191
151.971 3 148.971
199.462 4 195.462
27.569 -5 32.569
-421.886 4 425.886
23.6526 -7 30.6526
9.8715 -7 16.8715
308.791 -8 316.791
259.955 -5 264.955
-14.564 6 20.564
-356.587 -8 348.587
303.748 0 303.748
-157.27 4 161.27
149.168 4 145.168
136.539 -2 138.539
-89.5466 -4 85.5466
-74.5726 3 77.5726
-486.78 5 491.78
-93.7955 -5 88.7955
458.045 -3 461.045
-488.468 -3 485.468
-272.287 -1 271.287
74.9906 -7 81.9906
-148.184 3 151.184
195.809 -4 199.809
-156.783 3 159.783
5.85086 -5 10.8509
68.0093 -6 74.0093
36.2301 2 34.2301
-201.459 0 201.459
466.182 -6 472.182
-312.299 4 316.299
4.7646 -6 10.7646
-114.165 -6 108.165
90.1831 1 89.1831
-195.51 -7 188.51
217.449 2 215.449
-223.603 4 227.603
-554.183 2 556.183
-117.136 1 118.136
-474.293 3 477.293
-486.51 1 487.51
-58.0424 -8 50.0424
373.317 -7 380.317
-245.209 -7 238.209
232.03 3 229.03
-555.568 1 556.568
-530.048 1 531.048

-208.167 5 213.167
557.518 1 556.518
325.23 -5 330.23
242.657 -3 245.657
-115.841 0 115.841
-540.421 -8 532.421
131.747 -7 138.747
-369.76 -8 361.76
108.04 -2 110.04
-116.439 1 117.439
-116.925 -4 112.925
-73.8064 -8 65.8064
-248.945 3 251.945
250.749 7 243.749
366.687 4 362.687
512.632 -4 516.632
-8.8744 -8 0.874405
374.409 -6 380.409
-207.962 -5 202.962
103.911 -2 105.911
114.046 -1 115.046
58.608 1 57.608
191.943 -1 192.943
-127.098 5 132.098
-179.074 -8 171.074
124.703 0 124.703
165.466 -4 169.466
-109.926 -4 105.926
-225.675 -1 224.675
282.952 7 275.952
183.804 6 177.804
140.258 -1 141.258
-131.071 1 132.071
344.303 -2 346.303
102.591 2 100.591
-91.8975 0 91.8975
200.555 6 194.555
-200.387 -1 199.387
222.259 5 217.259
-115.491 5 120.491
-148.187 -3 145.187
-207.349 -8 199.349
185.823 4 181.823
47.1718 -2 49.1718
-98.8775 -3 95.8775
-57.4336 -2 55.4336
-271.587 -5 266.587
68.7042 -2 70.7042
270.479 7 263.479
213.5 7 206.5
-326.866 2 328.866
-352.756 -2 350.756
-574.461 -5 569.461
-128.524 2 130.524
260.609 -1 261.609
56.5231 -2 58.5231
-62.1425 -3 59.1425
-157.934 -6 151.934
378.603 7 371.603
34.7331 -7 41.7331
245.513 7 238.513
-168.833 -4 164.833
-22.5585 -5 17.5585
-245.898 -2 243.898

-270.808 -1 269.808
-273.996 2 275.996
-41.7011 3 44.7011
59.0083 -4 63.0083
-133.366 6 139.366
53.721 -5 58.721
-43.3679 5 48.3679
54.3466 -1 55.3466
322.733 -1 323.733
-135.732 -3 132.732
-468.636 -1 467.636
208.708 -3 211.708
-16.8089 -4 12.8089
-462.747 -1 461.747
209.97 -8 217.97
-254.243 -1 253.243
-23.9018 -7 16.9018
-12.584 5 17.584
40.3726 -6 46.3726
200.462 3 197.462
-117.512 3 120.512
-475.625 6 481.625
241.676 -6 247.676
-303.917 -5 298.917
6.63591 -7 13.6359
193.971 -3 196.971
-95.4237 -2 93.4237
-23.0874 -1 22.0874
-181.072 3 184.072
278.109 -7 285.109
359.811 -2 361.811
-116.096 6 122.096
118.751 2 116.751
274.73 1 273.73
-4.7363 6 10.7363
6.3882 -5 11.3882
-368.427 4 372.427
322.741 1 321.741
210.344 4 206.344
-30.4228 0 30.4228
149.521 3 146.521
384.477 -2 386.477
-107.199 7 114.199
-48.8321 -5 43.8321
-90.9576 6 96.9576
-108.411 3 111.411
-220.268 -2 218.268
61.6445 -3 64.6445
-112.832 -6 106.832
102.629 -6 108.629
-95.9735 -6 89.9735
30.1498 -5 35.1498
-64.9008 2 66.9008
210.428 -1 211.428
111.57 2 109.57
